"entity_id            entity_name    address"
"1                Tata Steel Ltd.     Mumbai"
"2         tata steel corporation  New Delhi"
"3             TATA STEEL LIMITED  Bangalore"
"4                     Tata Steel     Mumbai"
"5                    Tata Motors       Pune"
"6               Tata motors ltd.       Pune"
"7            TATA MOTORS LIMITED       Pune"
"8       Steel Authority of India  New Delhi"
"9  steel authority of india ltd.     Ranchi"
"10                           SAIL    Kolkata"
"11                Tata Steel Ltd.     Mumbai"
"12         tata steel corporation  New Delhi"
"13             TATA STEEL LIMITED  Bangalore"
"14                     Tata Steel     Mumbai"
"15                    Tata Motors       Pune"
"16               Tata motors ltd.       Pune"
"17            TATA MOTORS LIMITED       Pune"
"18       Steel Authority of India  New Delhi"
"19  steel authority of india ltd.     Ranchi"
"20                           SAIL    Kolkata"
"21                Tata Steel Ltd.     Mumbai"
"22         tata steel corporation  New Delhi"
"23             TATA STEEL LIMITED  Bangalore"
"24                     Tata Steel     Mumbai"
"25                    Tata Motors       Pune"
"26               Tata motors ltd.       Pune"
"27            TATA MOTORS LIMITED       Pune"
"28       Steel Authority of India  New Delhi"
"29  steel authority of india ltd.     Ranchi"
"30                           SAIL    Kolkata"
"31                Tata Steel Ltd.     Mumbai"
"32         tata steel corporation  New Delhi"
"33             TATA STEEL LIMITED  Bangalore"
"34                     Tata Steel     Mumbai"
"35                    Tata Motors       Pune"
"36               Tata motors ltd.       Pune"
"37            TATA MOTORS LIMITED       Pune"
"38       Steel Authority of India  New Delhi"
"39  steel authority of india ltd.     Ranchi"
"40                           SAIL    Kolkata"
"41                Tata Steel Ltd.     Mumbai"
"42         tata steel corporation  New Delhi"
"43             TATA STEEL LIMITED  Bangalore"
"44                     Tata Steel     Mumbai"
"45                    Tata Motors       Pune"
"46               Tata motors ltd.       Pune"
"47            TATA MOTORS LIMITED       Pune"
"48       Steel Authority of India  New Delhi"
"49  steel authority of india ltd.     Ranchi"
"51                Tata Steel Ltd.     Mumbai"
"52         tata steel corporation  New Delhi"
"53             TATA STEEL LIMITED  Bangalore"
"54                     Tata Steel     Mumbai"
"55                    Tata Motors       Pune"
"56               Tata motors ltd.       Pune"
"57            TATA MOTORS LIMITED       Pune"
"58       Steel Authority of India  New Delhi"
"59  steel authority of india ltd.     Ranchi"
"60                           SAIL    Kolkata"
"61                Tata Steel Ltd.     Mumbai"
"62         tata steel corporation  New Delhi"
"63             TATA STEEL LIMITED  Bangalore"
"64                     Tata Steel     Mumbai"
"65                    Tata Motors       Pune"
"66               Tata motors ltd.       Pune"
"67            TATA MOTORS LIMITED       Pune"
"68       Steel Authority of India  New Delhi"
"69  steel authority of india ltd.     Ranchi"
"70                           SAIL    Kolkata"
"71                Tata Steel Ltd.     Mumbai"
"72         tata steel corporation  New Delhi"
"73             TATA STEEL LIMITED  Bangalore"
"74                     Tata Steel     Mumbai"
"75                    Tata Motors       Pune"
"76               Tata motors ltd.       Pune"
"77            TATA MOTORS LIMITED       Pune"
"78       Steel Authority of India  New Delhi"
"79  steel authority of india ltd.     Ranchi"
"80                           SAIL    Kolkata"
"81                Tata Steel Ltd.     Mumbai"
"82         tata steel corporation  New Delhi"
"83             TATA STEEL LIMITED  Bangalore"
"84                     Tata Steel     Mumbai"
"85                    Tata Motors       Pune"
"86               Tata motors ltd.       Pune"
"87            TATA MOTORS LIMITED       Pune"
"88       Steel Authority of India  New Delhi"
"89  steel authority of india ltd.     Ranchi"
"90                           SAIL    Kolkata"
"91                Tata Steel Ltd.     Mumbai"
"92         tata steel corporation  New Delhi"
"93             TATA STEEL LIMITED  Bangalore"
"94                     Tata Steel     Mumbai"
"95                    Tata Motors       Pune"
"96               Tata motors ltd.       Pune"
"97            TATA MOTORS LIMITED       Pune"
"98       Steel Authority of India  New Delhi"
"99  steel authority of india ltd.     Ranchi"
"100                           SAIL    Kolkata"
